timestamp,stock,price,signal
2026-07-15 16:37:04,MOCKSTOCK,99.54,HOLD
2026-07-15 16:38:22,MOCKSTOCK,99.86,HOLD
2026-07-15 16:51:18,MOCKSTOCK,99.90,HOLD
2026-07-15 20:39:33,MOCKSTOCK,99.95,HOLD
2026-07-15 20:40:14,MOCKSTOCK,100.42,HOLD
2026-07-15 20:42:27,MOCKSTOCK,99.69,HOLD
2026-07-15 20:44:35,MOCKSTOCK,99.86,HOLD
2026-07-15 20:44:44,MOCKSTOCK,99.71,HOLD
2026-07-15 20:44:56,MOCKSTOCK,99.61,HOLD
2026-07-15 20:45:06,MOCKSTOCK,99.50,HOLD
2026-07-15 20:45:29,MOCKSTOCK,100.00,HOLD
2026-07-15 20:48:27,MOCKSTOCK,100.68,HOLD
2026-07-15 20:48:33,MOCKSTOCK,101.67,HOLD
2026-07-15 20:53:21,MOCKSTOCK,100.76,HOLD
2026-07-15 20:54:03,MOCKSTOCK,100.61,HOLD
2026-07-15 20:54:17,MOCKSTOCK,101.13,HOLD
2026-07-15 20:55:35,MOCKSTOCK,99.61,HOLD
2026-07-15 20:56:48,MOCKSTOCK,100.09,HOLD
2026-07-15 20:58:59,MOCKSTOCK,100.99,HOLD
2026-07-15 20:59:01,MOCKSTOCK,101.15,HOLD
2026-07-15 20:59:03,MOCKSTOCK,100.85,HOLD
2026-07-15 20:59:05,MOCKSTOCK,100.13,HOLD
2026-07-15 20:59:08,MOCKSTOCK,99.49,HOLD
2026-07-15 20:59:10,MOCKSTOCK,99.85,HOLD
2026-07-15 20:59:12,MOCKSTOCK,100.57,HOLD
2026-07-15 20:59:14,MOCKSTOCK,100.51,HOLD
2026-07-15 20:59:16,MOCKSTOCK,99.78,HOLD
2026-07-15 20:59:18,MOCKSTOCK,99.02,HOLD
2026-07-15 20:59:20,MOCKSTOCK,98.83,HOLD
2026-07-15 20:59:22,MOCKSTOCK,99.68,HOLD
2026-07-15 20:59:24,MOCKSTOCK,99.34,HOLD
2026-07-15 20:59:25,MOCKSTOCK,98.65,HOLD
2026-07-15 20:59:27,MOCKSTOCK,98.37,HOLD
2026-07-15 20:59:29,MOCKSTOCK,99.04,HOLD
2026-07-15 20:59:31,MOCKSTOCK,99.02,HOLD
2026-07-15 20:59:33,MOCKSTOCK,98.14,HOLD
2026-07-15 20:59:35,MOCKSTOCK,98.73,HOLD
2026-07-15 20:59:37,MOCKSTOCK,98.39,HOLD
2026-07-15 20:59:39,MOCKSTOCK,98.00,HOLD
2026-07-15 20:59:41,MOCKSTOCK,97.45,HOLD
2026-07-15 20:59:43,MOCKSTOCK,98.06,HOLD
2026-07-15 20:59:45,MOCKSTOCK,98.98,HOLD
2026-07-15 20:59:47,MOCKSTOCK,99.77,HOLD
2026-07-15 20:59:47,MOCKSTOCK,100.03,HOLD
2026-07-15 20:59:49,MOCKSTOCK,99.99,HOLD
2026-07-15 20:59:52,MOCKSTOCK,100.35,HOLD
2026-07-15 20:59:53,MOCKSTOCK,100.39,HOLD
2026-07-15 20:59:56,MOCKSTOCK,99.95,HOLD
2026-07-15 20:59:58,MOCKSTOCK,100.10,HOLD
2026-07-15 21:00:00,MOCKSTOCK,99.70,HOLD
2026-07-15 21:00:02,MOCKSTOCK,99.80,HOLD
2026-07-15 21:00:04,MOCKSTOCK,100.38,HOLD
2026-07-15 21:00:06,MOCKSTOCK,100.21,HOLD
2026-07-15 21:59:58,TESTSTOCK,101.50,BUY
2026-07-15 22:03:08,MOCKSTOCK,100.26,HOLD
2026-07-16 09:59:32,MOCKSTOCK,94.95,SELL
2026-07-16 09:59:34,MOCKSTOCK,95.66,HOLD
2026-07-16 17:40:32,MOCKSTOCK,105.02,BUY
2026-07-16 17:41:00,MOCKSTOCK,104.71,HOLD
2026-07-16 17:41:02,MOCKSTOCK,105.67,BUY
2026-07-16 17:41:08,MOCKSTOCK,104.69,HOLD
2026-07-16 17:44:58,MOCKSTOCK,105.07,BUY
2026-07-16 17:55:42,MOCKSTOCK,100.53,HOLD
2026-07-16 17:58:02,MOCKSTOCK,105.22,BUY
2026-07-16 17:58:04,MOCKSTOCK,104.32,HOLD
2026-07-16 17:58:06,MOCKSTOCK,105.14,BUY
2026-07-16 17:58:08,MOCKSTOCK,104.21,HOLD
2026-07-16 17:58:10,MOCKSTOCK,105.18,BUY
2026-07-16 17:58:12,MOCKSTOCK,104.61,HOLD
2026-07-16 17:58:16,MOCKSTOCK,105.25,BUY
2026-07-16 17:58:18,MOCKSTOCK,104.63,HOLD
2026-07-16 17:58:26,MOCKSTOCK,105.79,BUY
2026-07-16 17:58:35,MOCKSTOCK,104.98,HOLD
2026-07-16 17:58:47,MOCKSTOCK,105.26,BUY
2026-07-16 17:59:03,MOCKSTOCK,104.43,HOLD
2026-07-16 17:59:07,MOCKSTOCK,105.32,BUY
2026-07-16 17:59:08,MOCKSTOCK,104.59,HOLD
2026-07-16 17:59:10,MOCKSTOCK,105.47,BUY
