timestamp,price
2026-07-16 19:52:12,100.5
2026-07-16 19:52:14,99.75
2026-07-16 19:52:16,99.5
2026-07-16 19:52:18,99.2
2026-07-16 19:52:20,98.34
2026-07-16 19:52:22,99.23
2026-07-16 19:52:24,99.08
2026-07-16 19:52:26,98.55
2026-07-16 19:52:29,99.13
2026-07-16 19:52:31,98.68
2026-07-16 19:52:33,97.76
2026-07-16 19:52:35,96.84
2026-07-16 19:52:37,97.48
2026-07-16 19:52:38,97.22
2026-07-16 19:52:40,97.73
2026-07-16 19:52:42,97.82
2026-07-16 19:52:44,98.45
2026-07-16 19:52:46,97.91
2026-07-16 19:52:48,98.3
2026-07-16 19:52:50,98.45
2026-07-16 19:52:52,97.67
2026-07-16 19:52:54,97.68
2026-07-16 19:52:57,98.47
2026-07-16 19:52:59,98.49
2026-07-16 19:53:01,98.49
2026-07-16 19:53:03,97.67
2026-07-16 19:53:05,97.3
2026-07-16 19:53:07,98.06
2026-07-16 19:53:08,97.69
2026-07-16 19:53:11,96.77
2026-07-16 19:54:20,100.24
2026-07-16 19:54:22,100.14
2026-07-16 19:54:24,100.29
2026-07-16 19:54:26,100.19
2026-07-16 19:54:28,100.85
2026-07-16 19:54:30,101.09
2026-07-16 19:54:32,101.39
2026-07-16 19:54:34,101.28
2026-07-16 19:54:36,100.94
2026-07-16 19:54:38,100.47
2026-07-16 19:54:40,99.6
2026-07-16 19:54:42,99.95
2026-07-16 19:54:44,100.89
2026-07-16 19:54:46,101.37
2026-07-16 19:54:48,101.54
2026-07-16 19:54:50,100.91
2026-07-16 19:54:52,100.6
2026-07-16 19:54:54,100.52
2026-07-16 19:54:56,100.24
2026-07-16 19:54:58,100.36
2026-07-16 19:55:00,99.86
2026-07-16 19:55:02,99.27
2026-07-16 19:55:04,98.42
2026-07-16 19:55:06,97.86
2026-07-16 19:55:08,98.73
2026-07-16 19:55:10,99.72
2026-07-16 19:55:13,100.6
2026-07-16 19:55:15,100.14
2026-07-16 19:55:17,100.14
2026-07-16 19:55:19,100.58
2026-07-16 19:55:21,100.84
2026-07-16 19:55:23,101.06
2026-07-16 19:55:25,100.22
2026-07-16 19:55:27,100.29
2026-07-16 19:55:29,100.74
2026-07-16 19:55:31,100.59
2026-07-16 19:55:33,100.06
2026-07-16 19:55:35,100.73
2026-07-16 19:55:37,101.57
2026-07-16 19:55:39,101.41
2026-07-16 19:55:40,101.09
2026-07-16 19:55:42,101.14
2026-07-16 19:55:45,100.17
2026-07-16 19:55:47,100.57
2026-07-16 19:55:49,100.9
2026-07-16 19:55:51,101.05
2026-07-16 19:55:53,101.92
2026-07-16 19:55:55,102.29
2026-07-16 19:55:56,101.8
2026-07-16 19:55:58,102.4
2026-07-16 19:56:01,102.83
2026-07-16 19:56:03,103.73
2026-07-16 19:56:05,103.73
2026-07-16 19:56:07,102.82
2026-07-16 19:56:09,103.85
2026-07-16 19:56:11,103.47
2026-07-16 19:56:13,103.7
2026-07-16 19:56:15,103.47
2026-07-16 19:56:17,103.08
2026-07-16 19:56:19,102.15
2026-07-16 19:56:21,102.42
2026-07-16 19:56:23,102.04
2026-07-16 19:56:25,102.0
2026-07-16 19:56:27,102.19
2026-07-16 19:56:29,101.17
2026-07-16 19:56:31,100.75
2026-07-16 19:56:33,100.2
2026-07-16 19:56:35,100.45
2026-07-16 19:56:37,100.6
2026-07-16 19:56:39,101.04
2026-07-16 19:56:41,101.03
2026-07-16 19:56:43,100.07
2026-07-16 19:56:45,100.56
2026-07-16 19:56:47,101.31
2026-07-16 19:56:49,101.24
2026-07-16 19:56:51,101.11
2026-07-16 19:56:53,101.58
2026-07-16 19:56:55,101.41
2026-07-16 19:56:57,100.69
2026-07-16 19:57:10,99.99
2026-07-16 19:57:25,100.28
2026-07-16 19:57:26,99.78
2026-07-16 19:57:28,99.73
2026-07-16 19:57:31,100.36
2026-07-16 19:57:32,100.36
2026-07-16 19:57:33,100.13
2026-07-16 19:57:35,100.35
2026-07-16 19:57:37,99.47
2026-07-16 19:57:39,100.38
2026-07-16 19:57:41,101.17
2026-07-16 19:57:43,100.93
2026-07-16 19:57:45,101.6
2026-07-16 19:57:47,102.23
2026-07-16 19:57:49,102.71
2026-07-16 19:57:51,103.45
2026-07-16 19:57:53,103.92
2026-07-16 19:57:55,103.51
2026-07-16 19:57:57,103.97
2026-07-16 19:57:59,103.38
2026-07-16 19:58:01,103.18
2026-07-16 19:58:03,103.35
2026-07-16 19:58:05,102.33
2026-07-16 19:58:07,102.44
2026-07-16 19:58:09,103.04
2026-07-16 19:58:11,102.12
2026-07-16 19:58:13,103.1
2026-07-16 19:58:15,103.95
2026-07-16 19:58:17,103.23
2026-07-16 19:58:19,103.3
2026-07-16 19:58:21,102.36
2026-07-16 19:58:23,102.58
2026-07-16 19:58:25,102.64
2026-07-16 19:58:27,102.66
2026-07-16 19:58:29,102.75
2026-07-16 19:58:32,103.64
2026-07-16 19:58:34,103.77
2026-07-16 19:58:36,104.07
2026-07-16 19:58:38,104.84
2026-07-16 19:58:40,104.93
2026-07-16 19:58:42,104.49
2026-07-16 19:58:44,105.47
2026-07-16 19:58:46,105.04
2026-07-16 19:58:48,104.8
2026-07-16 19:58:50,105.63
2026-07-16 19:58:52,105.23
2026-07-16 19:58:54,105.48
2026-07-16 19:58:56,105.19
2026-07-16 19:58:57,104.87
2026-07-16 19:58:59,105.55
2026-07-16 19:59:01,105.63
2026-07-16 19:59:03,105.61
2026-07-16 19:59:05,105.28
2026-07-16 19:59:07,105.75
2026-07-16 19:59:09,105.9
2026-07-16 19:59:11,106.38
2026-07-16 19:59:13,106.39
2026-07-16 19:59:15,106.28
2026-07-16 19:59:18,105.56
